Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung SL:GROUP] IN:SEND_MESSAGE]
Erinnere mich an alle Wecker	[IN:GET_ALARM [SL:AMOUNT alle SL:AMOUNT] IN:GET_ALARM]
Stelle einen Timer auf 23 Minuten und einen zweiten Timer auf 30 Minuten	[IN:CREATE_TIMER [SL:AMOUNT einen SL:AMOUNT] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 23 Minuten SL:DATE_TIME] [SL:ORDINAL zweiten SL:ORDINAL] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 30 Minuten SL:DATE_TIME] IN:CREATE_TIMER]
Erstelle einen Timer für 15 Minuten und einen weiteren für 9 Minuten und noch einen weiteren für 40 Sekunden	[IN:CREATE_TIMER [SL:AMOUNT einen SL:AMOUNT] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für 15 Minuten SL:DATE_TIME] [SL:DATE_TIME für 9 Minuten SL:DATE_TIME] [SL:DATE_TIME für 40 Sekunden SL:DATE_TIME] IN:CREATE_TIMER]
Füge dem Timer für das Steak weitere fünf Minuten hinzu	[IN:ADD_TIME_TIMER [SL:DATE_TIME fünf Minuten hinzu SL:DATE_TIME] [SL:TIMER_NAME Steak SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Verlängere den Chillout - Timer um drei Stunden .	[IN:ADD_TIME_TIMER [SL:TIMER_NAME Chillout - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME um drei Stunden SL:DATE_TIME] IN:ADD_TIME_TIMER]
Ändere den Powernap - Timer auf 25 Minuten	[IN:UPDATE_TIMER [SL:TIMER_NAME Powernap - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 25 Minuten SL:DATE_TIME] IN:UPDATE_TIMER]
Kannst du meinen Schönheitsschlaf - Timer pausieren ?	[IN:PAUSE_TIMER [SL:TIMER_NAME Schönheitsschlaf - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:PAUSE_TIMER]
Erstelle einen Workout - Timer der in 30 Minuten endet	[IN:CREATE_TIMER [SL:TIMER_NAME Workout - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME in 30 Minuten SL:DATE_TIME] IN:CREATE_TIMER]
Ruf den Opa von Max Black an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION Opa SL:TYPE_RELATION]     [SL:CONTACT_RELATED Max Black SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe den Großvater von Judah James an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION Großvater SL:TYPE_RELATION]     [SL:CONTACT_RELATED Judah James SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Beginne einen Anruf mit Mark Meyers ' Papa	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Mark Meyers SL:CONTACT_RELATED]     [SL:TYPE_RELATION Papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe Dakota Stephens ' Mutter an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Dakota Stephens SL:CONTACT_RELATED]     [SL:TYPE_RELATION Mutter SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe Mateo Barrera über WhatsApp an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Mateo Barrera SL:CONTACT] IN:CREATE_CALL]
Rufe Gemma Stafford über WhatsApp an	[IN:CREATE_CALL [SL:CONTACT Gemma Stafford SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Ruf Lennon im Whatsapp Videochat an	[IN:CREATE_CALL [SL:CONTACT Lennon SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Rufe Emerson über WhatsApp Videochat an	[IN:CREATE_CALL [SL:CONTACT Emerson SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Rufe Jordyn Golden an rufe Carter Pope über WhatsApp an	[IN:CREATE_CALL [SL:CONTACT Jordyn Golden SL:CONTACT] [SL:CONTACT Carter Pope SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Ruf meinen WhatsApp - Kontakt Haven Meyer an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp - SL:NAME_APP] [SL:CONTACT Haven Meyer SL:CONTACT] IN:CREATE_CALL]
Rufe meinen WhatsApp - Kontakt Jazmin an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Jazmin SL:CONTACT] IN:CREATE_CALL]
Rufe Isabel Holland aus meinen WhatsApp - Kontakten an	[IN:CREATE_CALL [SL:CONTACT Isabel Holland SL:CONTACT] [SL:NAME_APP WhatsApp - SL:NAME_APP] IN:CREATE_CALL]
Ruf Abel Kelly in Whatsapp an	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Abel Kelly SL:CONTACT] IN:CREATE_CALL]
Ruf Zander Reyes auf Whatsapp an	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Zander Reyes SL:CONTACT] IN:CREATE_CALL]
Rufe Karina über WhatsApp an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Karina SL:CONTACT] IN:CREATE_CALL]
Zeig wie lange noch auf dem Zahnputz - Timer	[IN:GET_TIMER [SL:TIMER_NAME Zahnputz - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:GET_TIMER]
Zeig mir die verbleibende Zeit auf dem Wäsche - Timer	[IN:GET_TIMER [SL:TIMER_NAME Wäsche - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:GET_TIMER]
Füge einen zehn Minuten Timer hinzu	[IN:CREATE_TIMER [SL:DATE_TIME zehn Minuten SL:DATE_TIME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Zeig die verbleibende Zeit auf dem Workout - Timer	[IN:GET_TIMER [SL:TIMER_NAME Workout - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:GET_TIMER]
Kannst du 11 Minuten von meinem Gesichtsmasken - Timer abziehen	[IN:SUBTRACT_TIME_TIMER [SL:DATE_TIME 11 Minuten SL:DATE_TIME] [SL:TIMER_NAME Gesichtsmasken - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:SUBTRACT_TIME_TIMER]
Wir werden Kevin anrufen	[IN:CREATE_CALL [SL:CONTACT Kevin SL:CONTACT] IN:CREATE_CALL]
Würdest du einen Wecker auf 29 Minuten ab jetzt stellen	[IN:CREATE_ALARM [SL:DATE_TIME auf 29 Minuten ab jetzt SL:DATE_TIME] IN:CREATE_ALARM]
Bitte erstelle einen Timer namens Pho	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:TIMER_NAME Pho SL:TIMER_NAME] IN:CREATE_TIMER]
Starte einen Timer , der „ Abschnitt 1 von Prüfung " heißt	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:TIMER_NAME „ Abschnitt 1 von Prüfung " SL:TIMER_NAME] IN:CREATE_TIMER]
Erstelle einen Timer für Pushups	[IN:CREATE_TIMER [SL:TIMER_NAME für Pushups SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Spiel Kris Allen	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Kris Allen SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiel J Cole	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME J Cole SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele Steppenwolf	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Steppenwolf SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele was von Drake	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Drake SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele Justin Timberlake	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Justin Timberlake SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele etwas Queens Of The Stone Age .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Queens Of The Stone Age SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele etwas David Garrett	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME David Garrett SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiel die Chainsmokers	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME die Chainsmokers SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Ich möchte I Surrender von Hillsong hören	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE I Surrender SL:MUSIC_TRACK_TITLE] [SL:MUSIC_ARTIST_NAME Hillsong SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Beginne Major Lazer Essentials zu spielen	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Major Lazer Essentials SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Spiel die 1979er Version von Leaving Neverland	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Leaving Neverland SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Kann ich Dancing With A Stranger hören	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Dancing With A Stranger SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Spiele etwas klassischen Rock auf Google Play	[IN:PLAY_MUSIC [SL:MUSIC_GENRE klassischen Rock SL:MUSIC_GENRE] [SL:MUSIC_PROVIDER_NAME Google Play SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Ich würde gerne Google Play als meinen Standard haben	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Google Play SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Nutze nur Apple Music als meine Musik - App	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Apple Music SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Verwende Amazon Music als meine Standard - Musikapp	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Amazon Music SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Bitte ändere meinen Intervaltraining - Timer	[IN:UPDATE_TIMER [SL:TIMER_NAME Intervaltraining - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:UPDATE_TIMER]
Teile dieses erste Event mit Molly	[IN:SHARE_EVENT [SL:ORDINAL erste SL:ORDINAL] [SL:CONTACT Molly SL:CONTACT] IN:SHARE_EVENT]
Teile Po ‘ Boy Pop - Up mit John	[IN:SHARE_EVENT [SL:TITLE_EVENT Po ‘ Boy Pop - Up SL:TITLE_EVENT] [SL:CONTACT John SL:CONTACT] IN:SHARE_EVENT]
Kannst du bitte mehr ähnliche Events nennen ?	[IN:GET_EVENT [SL:SIMILARITY ähnliche SL:SIMILARITY] IN:GET_EVENT]
Zeig mir weitere Events , die ähnlich wie Eat Drink Play Los Gatos sind	[IN:GET_EVENT [SL:SIMILARITY ähnlich SL:SIMILARITY] [SL:TITLE_EVENT Eat Drink Play Los Gatos SL:TITLE_EVENT] IN:GET_EVENT]
Antworte bitte nein an Feast of San Gennaro	[IN:SET_RSVP_NO [SL:TITLE_EVENT Feast of San Gennaro SL:TITLE_EVENT] IN:SET_RSVP_NO]
Zeige mir Events , zu denen ich eingeladen bin	[IN:GET_EVENT [SL:USER_ATTENDEE_EVENT ich bin SL:USER_ATTENDEE_EVENT] IN:GET_EVENT]
Erweitere meinen Lese - Timer um 12 weitere Stunden	[IN:ADD_TIME_TIMER [SL:DATE_TIME 12 Stunden SL:DATE_TIME] [SL:TIMER_NAME Lese - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Kannst du Messenger benutzen um Aviana anzurufen	[IN:CREATE_CALL [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTACT Aviana SL:CONTACT] IN:CREATE_CALL]
WhatsApp - Anruf an Jaime	[IN:CREATE_CALL [SL:NAME_APP WhatsApp - SL:NAME_APP] [SL:CONTACT Jaime SL:CONTACT] IN:CREATE_CALL]
Versuche mit Messenger Joanna anzurufen	[IN:CREATE_CALL [SL:CONTACT Joanna SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Kannst du mit Messenger Isla anrufen	[IN:CREATE_CALL [SL:CONTACT Isla SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Rufe bitte Skyler über den Messenger an	[IN:CREATE_CALL [SL:CONTACT Skyler SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Rufe Fiona Horn bitte über Messenger an	[IN:CREATE_CALL [SL:CONTACT Fiona Horn SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Kontaktiere über Messenger Amani Fischer	[IN:CREATE_CALL [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTACT Amani Fischer SL:CONTACT] IN:CREATE_CALL]
WhatsApp - Anruf an Reid Riddle	[IN:CREATE_CALL [SL:NAME_APP WhatsApp - SL:NAME_APP] [SL:CONTACT Reid Riddle SL:CONTACT] IN:CREATE_CALL]
Habe ich am 8 . Oktober irgendwelche Nachrichten von meinem Mann bekommen ?	[IN:GET_MESSAGE [SL:RECIPIENT ich SL:RECIPIENT] [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinem SL:CONTACT_RELATED]     [SL:TYPE_RELATION Mann SL:TYPE_RELATION] IN:GET_CONTACT] SL:SENDER] [SL:DATE_TIME am 8 . Oktober SL:DATE_TIME] IN:GET_MESSAGE]
Kannst du ein Video für Prince aufnehmen	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:RECIPIENT Prince SL:RECIPIENT] IN:SEND_MESSAGE]
Rufe Dallas Curtis über Skype an	[IN:CREATE_CALL [SL:CONTACT Dallas Curtis SL:CONTACT] [SL:NAME_APP Skype SL:NAME_APP] IN:CREATE_CALL]
Ruf Sydney Roth über Messenger an	[IN:CREATE_CALL [SL:CONTACT Sydney Roth SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Bitte rufe Ali Hunter über Hangouts an	[IN:CREATE_CALL [SL:CONTACT Ali Hunter SL:CONTACT] [SL:NAME_APP Hangouts SL:NAME_APP] IN:CREATE_CALL]
Rufe Rex Schroeder über WhatsApp an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Rex Schroeder SL:CONTACT] IN:CREATE_CALL]
Ruf Destiny Mcconnell über WhatsApp an	[IN:CREATE_CALL [SL:CONTACT Destiny Mcconnell SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Das Wetter für Wath - upon - Dearne , bitte .	[IN:GET_WEATHER [SL:LOCATION Wath - upon - Dearne SL:LOCATION] IN:GET_WEATHER]
Stelle den Wecker für 10 : 00 Uhr an	[IN:CREATE_ALARM [SL:DATE_TIME für 10 : 00 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Lege jetzt einen Timer fest	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Setze meinen Timer fort	[IN:RESUME_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:RESUME_TIMER]
Rufe Nicole und Sebastian an	[IN:CREATE_CALL [SL:CONTACT Nicole SL:CONTACT] [SL:CONTACT Sebastian SL:CONTACT] IN:CREATE_CALL]
Ruf Jessica und Brian an	[IN:CREATE_CALL [SL:CONTACT Jessica SL:CONTACT] [SL:CONTACT Brian SL:CONTACT] IN:CREATE_CALL]
Aktualisiere den Timer auf 15 Minuten	[IN:UPDATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 15 Minuten SL:DATE_TIME] IN:UPDATE_TIMER]
Beginne einen halbstündigen Timer	[IN:CREATE_TIMER [SL:DATE_TIME halbstündigen SL:DATE_TIME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Kannst du meinen Freund bitte auf dem Bildschirm anzeigen	[IN:GET_CONTACT [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED] [SL:TYPE_RELATION Freund SL:TYPE_RELATION] IN:GET_CONTACT]
Zeig bitte meine Freundin Page	[IN:GET_CONTACT [SL:CONTACT_RELATED meine SL:CONTACT_RELATED] [SL:TYPE_RELATION Freundin SL:TYPE_RELATION] IN:GET_CONTACT]
Rufe sofort Rivera an	[IN:CREATE_CALL [SL:CONTACT Rivera SL:CONTACT] IN:CREATE_CALL]
Wähle sofort Adalyn Bolton	[IN:CREATE_CALL [SL:CONTACT Adalyn Bolton SL:CONTACT] IN:CREATE_CALL]
Rufe den dritten Richard an	[IN:CREATE_CALL [SL:ORDINAL dritten SL:ORDINAL] [SL:CONTACT Richard SL:CONTACT] IN:CREATE_CALL]
Ruf Camille Nummer zwei an	[IN:CREATE_CALL [SL:CONTACT Camille SL:CONTACT] [SL:ORDINAL zwei SL:ORDINAL] IN:CREATE_CALL]
Rufe Aubrie Nummer vier an	[IN:CREATE_CALL [SL:CONTACT Aubrie SL:CONTACT] [SL:ORDINAL vier SL:ORDINAL] IN:CREATE_CALL]
Ruf Melanie eins an	[IN:CREATE_CALL [SL:CONTACT Melanie SL:CONTACT] [SL:ORDINAL eins SL:ORDINAL] IN:CREATE_CALL]
Rufe Thomas Nummer zwei an	[IN:CREATE_CALL [SL:CONTACT Thomas SL:CONTACT] [SL:ORDINAL zwei SL:ORDINAL] IN:CREATE_CALL]
Wie ist die Temperatur in Istanbul / Türkei	[IN:GET_WEATHER [SL:LOCATION Istanbul / Türkei SL:LOCATION] IN:GET_WEATHER]
Geht irgendwer , den ich kenne , zu NW Indigenous Peoples : Sharing Powwow Ways ?	[IN:GET_ATTENDEE_EVENT [SL:TITLE_EVENT NW Indigenous Peoples : Sharing Powwow Ways SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Geht irgendwer den ich kenne zu Adventures in Storytelling	[IN:GET_ATTENDEE_EVENT [SL:TITLE_EVENT Adventures in Storytelling SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Kannst du mir sagen wann An Evening with Debra Messing beginnt	[IN:GET_DATE_TIME_EVENT [SL:TITLE_EVENT An Evening with Debra Messing SL:TITLE_EVENT] IN:GET_DATE_TIME_EVENT]
Zeig mir weitere Gaming Events	[IN:GET_EVENT [SL:CATEGORY_EVENT Gaming SL:CATEGORY_EVENT] IN:GET_EVENT]
Hast du irgendwelche anderen religiösen Events	[IN:GET_EVENT [SL:CATEGORY_EVENT religiösen SL:CATEGORY_EVENT] IN:GET_EVENT]
Ich bitte dich , mir zu sagen wann das zweite Event beginnt	[IN:GET_DATE_TIME_EVENT [SL:ORDINAL zweite SL:ORDINAL] IN:GET_DATE_TIME_EVENT]
Ich möchte , dass du mir Rugbyspiele in Redding nächsten Monat empfiehlst	[IN:GET_EVENT [SL:CATEGORY_EVENT Rugbyspiele SL:CATEGORY_EVENT] [SL:DATE_TIME nächsten Monat SL:DATE_TIME] [SL:LOCATION Redding SL:LOCATION] IN:GET_EVENT]
Welche Art von Event ist Sleeping Beauty Dreams ?	[IN:GET_CATEGORY_EVENT [SL:TITLE_EVENT Sleeping Beauty Dreams SL:TITLE_EVENT] IN:GET_CATEGORY_EVENT]
Welche Art von Event ist Paws to Party ?	[IN:GET_CATEGORY_EVENT [SL:TITLE_EVENT Paws to Party SL:TITLE_EVENT] IN:GET_CATEGORY_EVENT]
Welche Art von Event ist Soul Summit ?	[IN:GET_CATEGORY_EVENT [SL:TITLE_EVENT Soul Summit SL:TITLE_EVENT] IN:GET_CATEGORY_EVENT]
Was ist C - ID Night Market für eine Art Event ?	[IN:GET_CATEGORY_EVENT [SL:TITLE_EVENT C - ID Night Market SL:TITLE_EVENT] IN:GET_CATEGORY_EVENT]
Welche Art von Event ist Hocus Pocus ?	[IN:GET_CATEGORY_EVENT [SL:TITLE_EVENT Hocus Pocus SL:TITLE_EVENT] IN:GET_CATEGORY_EVENT]
Spiele Thunderstorms auf Spotify	[IN:PLAY_MUSIC [SL:MUSIC_ALBUM_TITLE Thunderstorms SL:MUSIC_ALBUM_TITLE] [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Bitte rufe Imogen an	[IN:CREATE_CALL [SL:CONTACT Imogen SL:CONTACT] IN:CREATE_CALL]
Rufe jetzt Mohammed an	[IN:CREATE_CALL [SL:CONTACT Mohammed SL:CONTACT] IN:CREATE_CALL]
Schicke es an Jacqulyn Yeates	[IN:SEND_MESSAGE [SL:RECIPIENT Jacqulyn Yeates SL:RECIPIENT] IN:SEND_MESSAGE]
Rufe sie an	[IN:CREATE_CALL [SL:CONTACT sie SL:CONTACT] IN:CREATE_CALL]
Fang an , das Video für Eleni aufzunehmen	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:RECIPIENT Eleni SL:RECIPIENT] IN:SEND_MESSAGE]
Antworte mit einem Video	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] IN:SEND_MESSAGE]
Bitte sende das Video an Sheila .	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:RECIPIENT Sheila SL:RECIPIENT] IN:SEND_MESSAGE]
Rufe Ezekiel auf WhatsApp an	[IN:CREATE_CALL [SL:CONTACT Ezekiel SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Kannst du Noah Tobias Ward anrufen	[IN:CREATE_CALL [SL:CONTACT Noah Tobias Ward SL:CONTACT] IN:CREATE_CALL]
Rufe jetzt Jude Gavin Miles an	[IN:CREATE_CALL [SL:CONTACT Jude Gavin Miles SL:CONTACT] IN:CREATE_CALL]
Ruf Makayla Aspen Russo für mich an	[IN:CREATE_CALL [SL:CONTACT Makayla Aspen Russo SL:CONTACT] IN:CREATE_CALL]
Rufe Serena A an	[IN:CREATE_CALL [SL:CONTACT Serena A SL:CONTACT] IN:CREATE_CALL]
Bitte ruf Ahmad A Wu an	[IN:CREATE_CALL [SL:CONTACT Ahmad A Wu SL:CONTACT] IN:CREATE_CALL]
Ruf CC Ball für mich an	[IN:CREATE_CALL [SL:CONTACT CC Ball SL:CONTACT] IN:CREATE_CALL]
Rufe jetzt Mary M Welch an	[IN:CREATE_CALL [SL:CONTACT Mary M Welch SL:CONTACT] IN:CREATE_CALL]
Rufe jetzt Nehemiah Trevor Peck an	[IN:CREATE_CALL [SL:CONTACT Nehemiah Trevor Peck SL:CONTACT] IN:CREATE_CALL]
Bitte rufe Tobias Richard Adams an .	[IN:CREATE_CALL [SL:CONTACT Tobias Richard Adams SL:CONTACT] IN:CREATE_CALL]
Rufe Amiyah Destiny Collins	[IN:CREATE_CALL [SL:CONTACT Amiyah Destiny Collins SL:CONTACT] IN:CREATE_CALL]
Rufe Grayson Tucker Bennett an	[IN:CREATE_CALL [SL:CONTACT Grayson Tucker Bennett SL:CONTACT] IN:CREATE_CALL]
Wann geht am Samstag die Sonne auf	[IN:GET_SUNRISE [SL:DATE_TIME am Samstag SL:DATE_TIME] IN:GET_SUNRISE]
Wie sieht es mit dieser Vorhersage aus	[IN:GET_WEATHER  IN:GET_WEATHER]
Wechsle auf Videoanruf	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Füge Steven zu diesem Anruf hinzu	[IN:UPDATE_CALL [SL:CONTACT_ADDED Steven SL:CONTACT_ADDED] IN:UPDATE_CALL]
Füge Alison meinem Anruf mit Zac hinzu	[IN:UPDATE_CALL [SL:CONTACT_ADDED Alison SL:CONTACT_ADDED] [SL:CONTACT Zac SL:CONTACT] IN:UPDATE_CALL]
Bitte prüfe , ob Sarah verfügbar ist	[IN:GET_AVAILABILITY [SL:CONTACT Sarah SL:CONTACT] IN:GET_AVAILABILITY]
Ist John jetzt online erreichbar ?	[IN:GET_AVAILABILITY [SL:CONTACT John SL:CONTACT] IN:GET_AVAILABILITY]
Stelle meinen Status auf Online ?	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
Ist irgendjemand jetzt online ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Wer rief mich um 3 : 00 Uhr an ?	[IN:GET_CALL_CONTACT [SL:DATE_TIME um 3 : 00 Uhr SL:DATE_TIME] IN:GET_CALL_CONTACT]
Ist AJ online	[IN:GET_AVAILABILITY [SL:CONTACT AJ SL:CONTACT] IN:GET_AVAILABILITY]
Wann hat Brendan den Videochat mit mir gehabt ?	[IN:GET_CALL_TIME [SL:CONTACT Brendan SL:CONTACT] IN:GET_CALL_TIME]
Habe ich Anrufe von gestern verpasst ?	[IN:GET_CALL [SL:DATE_TIME von gestern SL:DATE_TIME] IN:GET_CALL]
Verpasste Anrufe heute . Jetzt .	[IN:GET_CALL [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_CALL]
Um wie viel Uhr hat Mama mich angerufen ?	[IN:GET_CALL_TIME [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Mama SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_CALL_TIME]
Zeige verpasste Anrufe	[IN:GET_CALL  IN:GET_CALL]
Ruf Popa an	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Popa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Bitte rufe Mama an	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Mama SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe Papa an	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe Leah an .	[IN:CREATE_CALL [SL:CONTACT Leah SL:CONTACT] IN:CREATE_CALL]
Leg auf	[IN:END_CALL  IN:END_CALL]
Rufe jetzt Goldie an	[IN:CREATE_CALL [SL:CONTACT Goldie SL:CONTACT] IN:CREATE_CALL]
