llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
¿ Puedo escuchar el álbum Rumours de Fleetwood Mac ?	[IN:PLAY_MUSIC [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] [SL:MUSIC_ALBUM_TITLE Rumours SL:MUSIC_ALBUM_TITLE] [SL:MUSIC_ARTIST_NAME Fleetwood Mac SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Deja esta canción en " repetición " hasta que te diga que la detengas .	[IN:LOOP_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:LOOP_MUSIC]
Escuchar la canción " Another brick on the wall " en Spotify	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_TRACK_TITLE Another brick on the wall SL:MUSIC_TRACK_TITLE] [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Por favor reproduce mi lista de reproducción de Spotify	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Para esta canción	[IN:STOP_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:STOP_MUSIC]
Escuchemos un poco de Frank Sinatra	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Frank Sinatra SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Reproduce las mejores canciones de rock del momento .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rock SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Por favor , pon algo de blues	[IN:PLAY_MUSIC [SL:MUSIC_GENRE blues SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Por favor , saltar Beyonce .	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_ARTIST_NAME Beyonce SL:MUSIC_ARTIST_NAME] IN:SKIP_TRACK_MUSIC]
Spotify , reproduce a Miguel	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] [SL:MUSIC_ARTIST_NAME Miguel SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Quiero escuchar el álbum más reciente de Kaskade	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Kaskade SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
¿ QUIÉN está cantando esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Reproduce el primer álbum de Moon Hooch .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Moon Hooch SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Quiero escuchar música pop	[IN:PLAY_MUSIC [SL:MUSIC_GENRE pop SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pon la lista de reproducción actual en aleatorio .	[IN:START_SHUFFLE_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:START_SHUFFLE_MUSIC]
Adelanta dos pistas	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_TYPE pistas SL:MUSIC_TYPE] IN:SKIP_TRACK_MUSIC]
Retrocede una o dos canciones	[IN:PREVIOUS_TRACK_MUSIC [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
Quiero escuchar la última canción otra vez .	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL última SL:ORDINAL] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
por favor , repite la última canción	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL última SL:ORDINAL] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
Pon música clásica	[IN:PLAY_MUSIC [SL:MUSIC_GENRE clásica SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Por favor , vuelve a pasar esa canción	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
¿ Puedes repetir la última canción ?	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL última SL:ORDINAL] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
Añadir nueva lista de reproducción	[IN:CREATE_PLAYLIST_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:CREATE_PLAYLIST_MUSIC]
Quiero escuchar esa canción de nuevo	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
Reproducir el álbum nuevo de Kesha	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Kesha SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Agregar a Pandora	[IN:ADD_TO_PLAYLIST_MUSIC [SL:MUSIC_PROVIDER_NAME Pandora SL:MUSIC_PROVIDER_NAME] IN:ADD_TO_PLAYLIST_MUSIC]
Reproduce sólo canciones suaves	[IN:PLAY_MUSIC [SL:MUSIC_GENRE suaves SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
¿ Quién canta esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Reproducir hits de Rock	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Rock SL:MUSIC_GENRE] [SL:MUSIC_TYPE hits SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Esa canción es mi preferida ; por favor , pásala de nuevo	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
Avanza al final	[IN:FAST_FORWARD_MUSIC [SL:MUSIC_REWIND_TIME al final SL:MUSIC_REWIND_TIME] IN:FAST_FORWARD_MUSIC]
Encuentra a August Alsina	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME August Alsina SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Reproducir lista de reproducción de música aleatoria	[IN:PLAY_MUSIC [SL:MUSIC_TYPE música SL:MUSIC_TYPE] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Quisiera saber el nombre de este álbum .	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Pausar la canción	[IN:PAUSE_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PAUSE_MUSIC]
Pasa canciones de empoderamiento femenino .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE empoderamiento femenino SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
reproducir la banda sonora de Purple Rain	[IN:PLAY_MUSIC [SL:MUSIC_TYPE banda sonora SL:MUSIC_TYPE] [SL:MUSIC_ALBUM_TITLE Purple Rain SL:MUSIC_ALBUM_TITLE] IN:PLAY_MUSIC]
Quiero escuchar AC / DC , por favor	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME AC / DC SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Quiero escuchar todos los álbumes de Christina Perri .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Christina Perri SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbumes SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pon algunas canciones de Celine Dion	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Celine Dion SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Salta las siguientes tres pistas .	[IN:SKIP_TRACK_MUSIC [SL:ORDINAL siguientes SL:ORDINAL] [SL:MUSIC_TYPE pistas SL:MUSIC_TYPE] IN:SKIP_TRACK_MUSIC]
¿ Qué artista canta esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
encuéntrame algo de jazz	[IN:PLAY_MUSIC [SL:MUSIC_GENRE jazz SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Quién cantó esta canción	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
pon todas las canciones de Whitney Houston	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Whitney Houston SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproducir el álbum nuevo de Lecrae .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Lecrae SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Quiero escuchar indie .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE indie SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Reproducir mis canciones relajantes	[IN:PLAY_MUSIC [SL:MUSIC_GENRE relajantes SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
¿ Puedo escuchar Sexy Back de Justin Timberlake ?	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Sexy Back SL:MUSIC_TRACK_TITLE] [SL:MUSIC_ARTIST_NAME Justin Timberlake SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Reproduce la canción más reciente de Ed Sheeran	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Ed Sheeran SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
¿ Quién está jugando ahora ?	[IN:GET_TRACK_INFO_MUSIC  IN:GET_TRACK_INFO_MUSIC]
toca la canción más nueva de Taylor Swift	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Taylor Swift SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Déjame escuchar a Tchaikovsky en Spotify	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Tchaikovsky SL:MUSIC_ARTIST_NAME] [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
reproducir Guns N Roses en Pandora	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Guns N Roses SL:MUSIC_ARTIST_NAME] [SL:MUSIC_PROVIDER_NAME Pandora SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
¿ Cuánto cuesta esa canción para comprarla ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
dar me gusta a esta canción	[IN:LIKE_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:LIKE_MUSIC]
Reproducir todos los temas de Led Zeppelin	[IN:PLAY_MUSIC [SL:MUSIC_TYPE temas SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Led Zeppelin SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Por favor , reproducir música de Motown	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Motown SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproduce más de mis clásicos en lista de reproducción .	[IN:PLAY_MUSIC [SL:MUSIC_PLAYLIST_TITLE mis clásicos SL:MUSIC_PLAYLIST_TITLE] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Quiero improvisar un poco con Toby Keith !	[IN:PLAY_MUSIC [SL:MUSIC_TYPE improvisar SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Toby Keith SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
¿ Quién toca esa canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
adelanta esta pista , por favor	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:SKIP_TRACK_MUSIC]
ponme Red de Taylor Swift	[IN:PLAY_MUSIC [SL:MUSIC_ALBUM_TITLE Red SL:MUSIC_ALBUM_TITLE] [SL:MUSIC_ARTIST_NAME Taylor Swift SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
para la lista de reproducción	[IN:STOP_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:STOP_MUSIC]
regresar 10 segundos por favor	[IN:REWIND_MUSIC [SL:MUSIC_REWIND_TIME 10 segundos SL:MUSIC_REWIND_TIME] IN:REWIND_MUSIC]
Restablece la lista de reproducción al género country .	[IN:PLAY_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] [SL:MUSIC_GENRE country SL:MUSIC_GENRE] IN:PLAY_MUSIC]
¿ Que artista es el que toca ahora mismo ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE artista SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Toca blues para mí	[IN:PLAY_MUSIC [SL:MUSIC_GENRE blues SL:MUSIC_GENRE] IN:PLAY_MUSIC]
quién canta la canción Ashes to Ashes	[IN:QUESTION_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_TRACK_TITLE Ashes to Ashes SL:MUSIC_TRACK_TITLE] IN:QUESTION_MUSIC]
Por favor pon mi lista de reproducción actual en orden aleatorio	[IN:START_SHUFFLE_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:START_SHUFFLE_MUSIC]
Por favor , pon música punk	[IN:PLAY_MUSIC [SL:MUSIC_GENRE punk SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
toca canciones de the Killers	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME the Killers SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
En qué álbum encontraría esta canción	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Pon las mejores canciones country de todos los tiempos .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE country SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
una lista de reproducción de canciones famosas de Madonna	[IN:PLAY_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME canciones SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE Madonna SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Repetir esta pista .	[IN:LOOP_MUSIC [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:LOOP_MUSIC]
Reproducir música RnB	[IN:PLAY_MUSIC [SL:MUSIC_GENRE RnB SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproduce canciones de Michael Jackson	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Michael Jackson SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Para esta canción y pon la siguiente	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:ORDINAL siguiente SL:ORDINAL] IN:SKIP_TRACK_MUSIC]
Quiero escuchar a Beyonce en Spotify	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Beyonce SL:MUSIC_ARTIST_NAME] [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
¿ Puedes saltear esta canción ?	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:SKIP_TRACK_MUSIC]
Encuentra la canción que dice , " nunca conviertas a una mujer bonita en tu esposa "	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_TRACK_TITLE   nunca   conviertas   a   una   mujer   bonita   en   tu   esposa SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Quiero escuchar el último disco de Carrie Underwood	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Carrie Underwood SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE disco SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pon algo de música rap	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rap SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
¿ Puedo escuchar a Chris Brown ?	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Chris Brown SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Pon otra vez esta canción por favor	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
ya no reproducir más de justin bieber	[IN:REMOVE_FROM_PLAYLIST_MUSIC [SL:MUSIC_ARTIST_NAME justin bieber SL:MUSIC_ARTIST_NAME] IN:REMOVE_FROM_PLAYLIST_MUSIC]
Quiero escuchar Rock clásico .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Rock clásico SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Cambia la música por salsa .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE salsa SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
qué tema se está reproduciendo	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE tema SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Déjame escuchar Do what you want de Lady Gaga	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Lady Gaga SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TRACK_TITLE Do what you want SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Pon en aleatorio mis favoritos .	[IN:START_SHUFFLE_MUSIC [SL:MUSIC_PLAYLIST_TITLE mis favoritos SL:MUSIC_PLAYLIST_TITLE] IN:START_SHUFFLE_MUSIC]
Quiero escuchar la siguiente pista	[IN:SKIP_TRACK_MUSIC [SL:ORDINAL siguiente SL:ORDINAL] [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:SKIP_TRACK_MUSIC]
¿ Esa es Enya ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_ARTIST_NAME Enya SL:MUSIC_ARTIST_NAME] IN:GET_TRACK_INFO_MUSIC]
Adelantar	[IN:FAST_FORWARD_MUSIC  IN:FAST_FORWARD_MUSIC]
Quisiera escuchar a Aaliyah , por favor .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Aaliyah SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Quiero escuchar a Taylor Swift	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Taylor Swift SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Quiero volver a escuchar esa canción .	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
Pon otra canción del mismo artista	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
¿ Cuánto dura esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
¿ Quién canta " I Can See Clearly Now " ?	[IN:QUESTION_MUSIC [SL:MUSIC_TRACK_TITLE " I Can See Clearly Now SL:MUSIC_TRACK_TITLE] IN:QUESTION_MUSIC]
Repite la última canción inmediatamente	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL última SL:ORDINAL] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
¿ puedes mostrar las noticias del periódico local ?	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE periódico local SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
US Today en directo	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE US Today SL:NEWS_SOURCE] [SL:NEWS_TYPE en directo SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
muéstra me noticias de newsy	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE noticias SL:NEWS_TYPE] [SL:NEWS_SOURCE newsy SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Ir a Fox News	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Fox News SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Pon las noticias de NBC	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE NBC SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
reproducir las noticias en cnn	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE cnn SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Muéstra me las noticias de The Guardian	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE The Guardian SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Muéstra me las noticias de The Mail	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE The Mail SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Cualquier noticia de Google News	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Google News SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Muéstra me artículos sobre rusos	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE artículos SL:NEWS_TYPE] [SL:NEWS_TOPIC rusos SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Quiero ver titulares sobre asesinatos	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE titulares SL:NEWS_TYPE] [SL:NEWS_TOPIC asesinatos SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Muéstra me las noticias de NPR	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE noticias SL:NEWS_TYPE] [SL:NEWS_SOURCE NPR SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
¿ Qué noticias hay en Newsy ?	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE noticias SL:NEWS_TYPE] [SL:NEWS_SOURCE Newsy SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Quiero ver algunas noticias de 1985	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE noticias SL:NEWS_TYPE] [SL:DATE_TIME de 1985 SL:DATE_TIME] IN:GET_STORIES_NEWS]
Detalles del huracán que golpeó a Florida	[IN:GET_DETAILS_NEWS [SL:NEWS_TOPIC huracán que golpeó a Florida SL:NEWS_TOPIC] IN:GET_DETAILS_NEWS]
Actualización de noticias sobre Corea del Norte	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Actualización de noticias SL:NEWS_TYPE] [SL:NEWS_TOPIC Corea del Norte SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
¿ Por qué renunció del consejo de Trump el CEO de Under Armour ?	[IN:QUESTION_NEWS [SL:NEWS_TOPIC   renunció   del   consejo   de   Trump   el   CEO   de   Under   Armour SL:NEWS_TOPIC] IN:QUESTION_NEWS]
Lee los detalles acerca del homicidio en Charlotte	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE detalles SL:NEWS_TYPE] [SL:NEWS_TOPIC homicidio en Charlotte SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
las últimas noticias sobre las elecciones	[IN:GET_STORIES_NEWS [SL:DATE_TIME últimas SL:DATE_TIME] [SL:NEWS_TYPE noticias SL:NEWS_TYPE] [SL:NEWS_TOPIC elecciones SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Se está televisando el huracán	[IN:QUESTION_NEWS [SL:NEWS_TOPIC televisando el huracán SL:NEWS_TOPIC] IN:QUESTION_NEWS]
¿ Sobre qué tuiteó recientemente Donald Trump que haya salido en las noticias ?	[IN:GET_STORIES_NEWS [SL:NEWS_TOPIC tuiteó recientemente Donald Trump SL:NEWS_TOPIC] [SL:NEWS_TYPE noticias SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
¿ Puedes leerme los detalles de la historia de Jennifer Aniston ?	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE detalles SL:NEWS_TYPE] [SL:NEWS_TYPE historia SL:NEWS_TYPE] [SL:NEWS_TOPIC Jennifer Aniston SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
¿ Qué noticias hay en el mercado de valores ?	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE noticias SL:NEWS_TYPE] [SL:NEWS_TOPIC mercado de valores SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
¿ Cuándo es la próxima cita en la corte de Bill Cosby ?	[IN:QUESTION_NEWS [SL:NEWS_TOPIC próxima cita en la corte de Bill Cosby SL:NEWS_TOPIC] IN:QUESTION_NEWS]
Encuentra artículo de CNN sobre restricciones electorales	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE CNN SL:NEWS_SOURCE] [SL:NEWS_TYPE artículo SL:NEWS_TYPE] [SL:NEWS_TOPIC restricciones electorales SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
¿ Cuál es la visión de Trump sobre los asuntos de Venezuela ?	[IN:QUESTION_NEWS [SL:NEWS_TOPIC visión de Trump sobre Venezuela SL:NEWS_TOPIC] IN:QUESTION_NEWS]
¿ Hay posibilidad de que comience una guerra nuclear ?	[IN:QUESTION_NEWS [SL:NEWS_TOPIC posibilidad de que comience una guerra nuclear SL:NEWS_TOPIC] IN:QUESTION_NEWS]
¿ Metieron presa a Selena Gómez ?	[IN:QUESTION_NEWS [SL:NEWS_TOPIC Metieron presa a Selena Gómez SL:NEWS_TOPIC] IN:QUESTION_NEWS]
¿ Cuál es el nivel de aprobación actual de Donald Trump ?	[IN:QUESTION_NEWS [SL:NEWS_TOPIC nivel de aprobación actual de Donald Trump SL:NEWS_TOPIC] IN:QUESTION_NEWS]
¿ el presidente dio alguna actualización hoy ?	[IN:GET_STORIES_NEWS [SL:NEWS_TOPIC presidente SL:NEWS_TOPIC] [SL:NEWS_TYPE actualización SL:NEWS_TYPE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_STORIES_NEWS]
¿ Cuáles son los detalles de las elecciones ?	[IN:GET_STORIES_NEWS [SL:NEWS_TOPIC elecciones SL:NEWS_TOPIC] [SL:NEWS_TYPE detalles SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
